address,category
0xd0cc2b24980cbcca47ef755da88b220a82291407,Phishing
0x4cdc1cba0aeb5539f2e0ba158281e67e0e54a9b1,Phishing
0x00e01a648ff41346cdeb873182383333d2184dd1,Phishing
0x858457daa7e087ad74cdeeceab8419079bc2ca03,Phishing
0x240e125c20a4cc84bd6e7f8d1fd07aff4c06d43d,Fake ICO
0x2268751eafc860781074d25f4bd10ded480310b9,Fake ICO
0xadf5b0c2103598fb66a61714152f1d1717d49fe0,Fake ICO
0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,Phishing
0x2b065809f6ec6df32878bcd26711a0e2bcf59c26,Phishing
0x42c5459911ae51d1d005cbe39749bd8d8e533c22,Phishing
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,Phishing
0x11c058c3efbf53939fb6872b09a2b5cf2410a1e2c3f3c867664e43a626d878c0,Phishing
0x2dfe2e0522cc1f050edcc7a05213bb55bbb36884ec9468fc39eccc013c65b5e4,Phishing
0x1c6e3348a7ea72ffe6a384e51bd1f36ac1bcb4264f461889a318a3bb2251bf19,Phishing
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,Phishing
0x1d60606d8a09b5015d773a80b0c660bb8d91809c,Phishing
0xba83e9ce38b10522e3d6061a12779b7526839eda,Phishing
0xf73ef0650415656b51be39bd5d37cf5ce03f4033,Phishing
0xedf202629bb7e9f72d4c62c325d198513fa7a3d3,Phishing
0x33f74739ce6be3b2c38af76f5adb3866cb4784c4,Phishing
0xaa1886de3f70a3ef502ea1379a311c5b4e05f3fd,Phishing
0xf9fe85e19bd533c69067c6e2ff02727d40a54100,Scamming
0xf0a924661b0263e5ce12756d07f45b8668c53380,Scamming
0x4423b4d5174dd6fca701c053bf48faeaaaee59f0,Scamming
0x89c98cc6d9917b615257e5704e83906402f0f91f,Phishing
0x4a0d27a1044dd871a93275de5109e5f5efc4d46e,Phishing
0x3681828da105fc3c44e212f6c3dc51a0a5a6f5c6,Phishing
0xe4fa5149306b12d51dc0d04e5e95bc9704ccaad7,Phishing
0x1e80dad60d19fb8159af3f440a8ceaa0e5581847,Phishing
0x52b7c8857be3853fa68e09d9ba7a9adf075040ea,Phishing
0x3b0009071a0a9983e9aab537fd8c9ad478310aeb,Phishing
0xc38d14bf89e0001260bb349a006d7e491e5f43ad,Phishing
0x4bf722014e54aeab05fcf1519e6e4c0c3f742e43,Phishing
0xd9932453997ddf36fe114c9f22bebb9ee77b2921,Phishing
0x68b0e0db7918c0211ea1fb78292a879839137dd0,Phishing
0xf902aa3a62f9e28878129e1a8f1eb71e4fd7a88c,Phishing
0x1086feeb031e45e8fcd770662aa8302d7c23ba1f,Phishing
0x685445fe51b31790538890a6468851afbf7a0519,Phishing
0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,Phishing
0x6fcf42fcd9c6a54b64d1b52083700142952a2805,Fake ICO
0xda657e9fa116900fab8178e5580a3a6cedd89f3c,Phishing
0x44a7ff01f7d38c73530c279e19d31527bdcf8c78,Phishing
0x1de23f02e185fdc4f6bacc98d6c6419370e38538,Phishing
